영상편집에 필요한 정보,,,,,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DateTime,Accident number,Member year,Year of accident,Month of accident,Weekday,Time,GPS latitude,GPS longitude,Country,Accident description,Collision type,Accident type,Participant A referring accident type,Participant B referring accident type,Main contributing factor,Road type,Road surface,Road condition,Lane separation,Light condition,Weather 1,Weather 2,Location,Emergency arrival,Accident Severity,PCM data available,Case status,Vsim,comment,,영상유무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CASENR,CASENR,MEMYEAR,YEAR,MONTH,WDAY,TIME,GPSLAT,GPSLONG,COUNTRY,ACCDESC,COLLTYPE,ACCTYPE,ACCTYPEA,ACCTYPEB,MAINFACT,ROADTYPE,ROADSURF,ROADCOND,LANESEPAR,LIGHTCON,WEATHER1,WEATHER2,LOCATION,EMARRIV,ACCSEV,PCMAVAIL,STATUS,CASENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이벤트시작(초),이벤트끝(초),파일명(mp4),기준날짜시간,상위폴더,폴더명(datetime),CASENR,MEMYEAR,YEAR,MONTH,WDAY,TIME,GPSLAT,GPSLONG,COUNTRY,ACCDESC,COLLTYPE,사고유형,차량A,차량B,MAINFACT,도로규모,표면재질,표면습도,도로분리,빛조건,날씨,WEATHER2,LOCATION,EMARRIV,ACCSEV,PCMAVAIL,STATUS,,,도로명주소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04_13-33-13,2024-03-04_13-33-13,,2024-03-04_13-33-13,2024-03-11_Y,2024-03-04_13-33-13,,,,,,,37.1979,127.207,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04_13-41-22,2024-03-04_13-41-22,,2024-03-04_13-41-22,2024-03-11_Y,2024-03-04_13-41-22,,,,,,,37.2296,127.211,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04_13-42-49,2024-03-04_13-42-49,,2024-03-04_13-42-49,2024-03-11_Y,2024-03-04_13-42-49,,,,,,,37.2321,127.21,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-05_09-30-07,2024-03-05_09-30-07,,2024-03-05_09-30-07,2024-03-11_Y,2024-03-05_09-30-07,,,,,,,37.2401,127.172,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-06_12-04-49,2024-03-06_12-04-49,,2024-03-06_12-04-49,2024-03-11_Y,2024-03-06_12-04-49,,,,,,,37.2252,127.17,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-06_13-24-20,2024-03-06_13-24-20,,2024-03-06_13-24-20,2024-03-11_Y,2024-03-06_13-24-20,,,,,,,37.1946,127.195,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-07_09-32-04,2024-03-07_09-32-04,,2024-03-07_09-32-04,2024-03-11_Y,2024-03-07_09-32-04,,,,,,,37.2397,127.178,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-09_13-55-59,2024-03-09_13-55-59,,2024-03-09_13-55-59,2024-03-11_Y,2024-03-09_13-55-59,,,,,,,37.1966,127.201,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-09_16-57-22,2024-03-09_16-57-22,,2024-03-09_16-57-22,2024-03-11_Y,2024-03-09_16-57-22,,,,,,,37.2115,127.169,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-11_10-59-03,2024-03-11_10-59-03,,2024-03-11_10-59-03,2024-03-11_Y,2024-03-11_10-59-03,,,,,,,37.2383,127.178,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-13_17-42-37,2024-03-13_17-42-37,,2024-03-13_17-42-37,2024-03-28_자동삭제,2024-03-13_17-42-37,,,,,,,37.2888,127.135,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-14_07-09-03,2024-03-14_07-09-03,,2024-03-14_07-09-03,2024-03-28_자동삭제,2024-03-14_07-09-03,,,,,,,37.2407,127.155,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-14_07-31-53,2024-03-14_07-31-53,,2024-03-14_07-31-53,2024-03-28_자동삭제,2024-03-14_07-31-53,,,,,,,37.4341,127.123,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-14_18-04-55,2024-03-14_18-04-55,,2024-03-14_18-04-55,2024-03-28_자동삭제,2024-03-14_18-04-55,,,,,,,37.2805,127.178,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-15_07-31-25,2024-03-15_07-31-25,,2024-03-15_07-31-25,2024-03-28_자동삭제,2024-03-15_07-31-25,,,,,,,37.474,127.129,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-15_16-58-05,2024-03-15_16-58-05,,2024-03-15_16-58-05,2024-03-28_자동삭제,2024-03-15_16-58-05,,,,,,,37.4492,127.129,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-15_20-29-39,2024-03-15_20-29-39,,2024-03-15_20-29-39,2024-03-28_자동삭제,2024-03-15_20-29-39,,,,,,,37.2257,127.193,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-18_07-32-17,2024-03-18_07-32-17,,2024-03-18_07-32-17,2024-03-28_자동삭제,2024-03-18_07-32-17,,,,,,,37.4179,127.123,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-18_17-53-27,2024-03-18_17-53-27,,2024-03-18_17-53-27,2024-03-28_자동삭제,2024-03-18_17-53-27,,,,,,,37.3062,127.103,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_07-01-28,2024-03-19_07-01-28,,2024-03-19_07-01-28,2024-03-28_자동삭제,2024-03-19_07-01-28,,,,,,,37.2752,127.182,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_07-07-50,2024-03-19_07-07-50,,2024-03-19_07-07-50,2024-03-28_자동삭제,2024-03-19_07-07-50,,,,,,,37.3146,127.104,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_08-27-10,2024-03-19_08-27-10,,2024-03-19_08-27-10,2024-03-28_자동삭제,2024-03-19_08-27-10,,,,,,,37.3658,127.104,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_09-23-37,2024-03-19_09-23-37,,2024-03-19_09-23-37,2024-03-28_자동삭제,2024-03-19_09-23-37,,,,,,,37.3865,127.103,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_09-26-44,2024-03-19_09-26-44,,2024-03-19_09-26-44,2024-03-28_자동삭제,2024-03-19_09-26-44,,,,,,,37.394,127.102,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_09-30-08,2024-03-19_09-30-08,,2024-03-19_09-30-08,2024-03-28_자동삭제,2024-03-19_09-30-08,,,,,,,37.3944,127.105,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_09-30-47,2024-03-19_09-30-47,,2024-03-19_09-30-47,2024-03-28_자동삭제,2024-03-19_09-30-47,,,,,,,37.3997,127.101,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_09-30-59,2024-03-19_09-30-59,,2024-03-19_09-30-59,2024-03-28_자동삭제,2024-03-19_09-30-59,,,,,,,37.4028,127.098,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_09-37-10,2024-03-19_09-37-10,,2024-03-19_09-37-10,2024-03-28_자동삭제,2024-03-19_09-37-10,,,,,,,37.4668,127.126,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-19_09-48-22,2024-03-19_09-48-22,,2024-03-19_09-48-22,2024-03-28_자동삭제,2024-03-19_09-48-22,,,,,,,37.4823,127.122,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_10-21-52,2024-03-20_10-21-52,,2024-03-20_10-21-52,2024-03-28_자동삭제,2024-03-20_10-21-52,,,,,,,37.4863,127.114,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_10-26-56,2024-03-20_10-26-56,,2024-03-20_10-26-56,2024-03-28_자동삭제,2024-03-20_10-26-56,,,,,,,37.4943,127.096,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_10-28-12,2024-03-20_10-28-12,,2024-03-20_10-28-12,2024-03-28_자동삭제,2024-03-20_10-28-12,,,,,,,37.4986,127.083,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_10-52-16,2024-03-20_10-52-16,,2024-03-20_10-52-16,2024-03-28_자동삭제,2024-03-20_10-52-16,,,,,,,37.5341,127.06,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_10-53-38,2024-03-20_10-53-38,,2024-03-20_10-53-38,2024-03-28_자동삭제,2024-03-20_10-53-38,,,,,,,37.5337,127.06,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_11-32-58,2024-03-20_11-32-58,,2024-03-20_11-32-58,2024-03-28_자동삭제,2024-03-20_11-32-58,,,,,,,37.6489,126.739,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_11-34-18,2024-03-20_11-34-18,,2024-03-20_11-34-18,2024-03-28_자동삭제,2024-03-20_11-34-18,,,,,,,37.6563,126.725,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_13-24-46,2024-03-20_13-24-46,,2024-03-20_13-24-46,2024-03-28_자동삭제,2024-03-20_13-24-46,,,,,,,37.6647,126.739,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_13-41-11,2024-03-20_13-41-11,,2024-03-20_13-41-11,2024-03-28_자동삭제,2024-03-20_13-41-11,,,,,,,37.5959,126.772,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_14-19-47,2024-03-20_14-19-47,,2024-03-20_14-19-47,2024-03-28_자동삭제,2024-03-20_14-19-47,,,,,,,37.4653,126.706,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_16-41-20,2024-03-20_16-41-20,,2024-03-20_16-41-20,2024-03-28_자동삭제,2024-03-20_16-41-20,,,,,,,37.4332,126.692,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-20_16-48-59,2024-03-20_16-48-59,,2024-03-20_16-48-59,2024-03-28_자동삭제,2024-03-20_16-48-59,,,,,,,37.4314,126.738,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_07-16-49,2024-03-21_07-16-49,,2024-03-21_07-16-49,2024-03-28_자동삭제,2024-03-21_07-16-49,,,,,,,37.2416,127.163,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_08-06-58,2024-03-21_08-06-58,,2024-03-21_08-06-58,2024-03-28_자동삭제,2024-03-21_08-06-58,,,,,,,37.228,126.768,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_17-42-28,2024-03-21_17-42-28,,2024-03-21_17-42-28,2024-03-28_자동삭제,2024-03-21_17-42-28,,,,,,,37.2162,126.765,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_17-46-20,2024-03-21_17-46-20,,2024-03-21_17-46-20,2024-03-28_자동삭제,2024-03-21_17-46-20,,,,,,,37.207,126.774,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_17-54-38,2024-03-21_17-54-38,,2024-03-21_17-54-38,2024-03-28_자동삭제,2024-03-21_17-54-38,,,,,,,37.2257,126.798,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_17-59-53,2024-03-21_17-59-53,,2024-03-21_17-59-53,2024-03-28_자동삭제,2024-03-21_17-59-53,,,,,,,37.2469,126.8,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_18-01-32,2024-03-21_18-01-32,,2024-03-21_18-01-32,2024-03-28_자동삭제,2024-03-21_18-01-32,,,,,,,37.2546,126.798,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_18-02-57,2024-03-21_18-02-57,,2024-03-21_18-02-57,2024-03-28_자동삭제,2024-03-21_18-02-57,,,,,,,37.2635,126.805,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-21_19-55-02,2024-03-21_19-55-02,,2024-03-21_19-55-02,2024-03-28_자동삭제,2024-03-21_19-55-02,,,,,,,37.1781,127.09,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22_17-14-39,2024-03-22_17-14-39,,2024-03-22_17-14-39,2024-03-28_자동삭제,2024-03-22_17-14-39,,,,,,,37.4872,127.12,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22_17-35-56,2024-03-22_17-35-56,,2024-03-22_17-35-56,2024-03-28_자동삭제,2024-03-22_17-35-56,,,,,,,37.4672,127.094,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22_17-57-59,2024-03-22_17-57-59,,2024-03-22_17-57-59,2024-03-28_자동삭제,2024-03-22_17-57-59,,,,,,,37.3926,127.071,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22_18-12-00,2024-03-22_18-12-00,,2024-03-22_18-12-00,2024-03-28_자동삭제,2024-03-22_18-12-00,,,,,,,37.3625,127.063,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22_18-45-47,2024-03-22_18-45-47,,2024-03-22_18-45-47,2024-03-28_자동삭제,2024-03-22_18-45-47,,,,,,,37.2065,127.203,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25_06-53-53,2024-03-25_06-53-53,,2024-03-25_06-53-53,2024-03-28_자동삭제,2024-03-25_06-53-53,,,,,,,37.2981,127.104,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25_17-11-16,2024-03-25_17-11-16,,2024-03-25_17-11-16,2024-03-28_자동삭제,2024-03-25_17-11-16,,,,,,,37.4878,127.119,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-25_17-48-49,2024-03-25_17-48-49,,2024-03-25_17-48-49,2024-03-28_자동삭제,2024-03-25_17-48-49,,,,,,,37.3654,127.103,,보유 데이터 중 미가공 데이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
