영상편집에 필요한 정보,,,,,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DateTime,Accident number,Member year,Year of accident,Month of accident,Weekday,Time,GPS latitude,GPS longitude,Country,Accident description,Collision type,Accident type,Participant A referring accident type,Participant B referring accident type,Main contributing factor,Road type,Road surface,Road condition,Lane separation,Light condition,Weather 1,Weather 2,Location,Emergency arrival,Accident Severity,PCM data available,Case status,Vsim,comment,,영상유무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CASENR,CASENR,MEMYEAR,YEAR,MONTH,WDAY,TIME,GPSLAT,GPSLONG,COUNTRY,ACCDESC,COLLTYPE,ACCTYPE,ACCTYPEA,ACCTYPEB,MAINFACT,ROADTYPE,ROADSURF,ROADCOND,LANESEPAR,LIGHTCON,WEATHER1,WEATHER2,LOCATION,EMARRIV,ACCSEV,PCMAVAIL,STATUS,CASENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이벤트시작(초),이벤트끝(초),파일명(mp4),기준날짜시간,상위폴더,폴더명(datetime),CASENR,MEMYEAR,YEAR,MONTH,WDAY,TIME,GPSLAT,GPSLONG,COUNTRY,ACCDESC,COLLTYPE,사고유형,차량A,차량B,MAINFACT,도로규모,표면재질,표면습도,도로분리,빛조건,날씨,WEATHER2,LOCATION,EMARRIV,ACCSEV,PCMAVAIL,STATUS,,,도로명주소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,54,2023-01-18_16-25-20-front,2023-01-18_16-26-01,20230216_정리필요_임시삭제,2023-01-18_16-26-01,,2023,2023,1 ,3,1626,37.2359,126.774,KR,주차장을 빠져나가는 중 전방 차량이 멈춰 있어 충돌을 주의해야 하는 상황,99999,591,1,2,99999,5,1,1,1,1,1,77777,,7777,1,2,4,,,"교통안전공단 자동차안전연구원, Curve road, 화성시, 경기도, 18248, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,2023-01-18_16-44-07-front,2023-01-18_16-44-34,20230216_정리필요_임시삭제,2023-01-18_16-44-34,,2023,2023,1 ,3,1644,37.2359,126.773,KR,전방 차량이 갑자기 정지하므로 충돌 위험이 있는 상황,99999,742,1,2,99999,5,1,1,1,1,1,77777,,7777,1,2,4,,,"교통안전공단 자동차안전연구원, Curve road, 화성시, 경기도, 18248, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,33,2023-01-18_16-48-36-front,2023-01-18_16-49-23,20230216_정리필요_임시삭제,2023-01-18_16-49-23,,2023,2023,1 ,3,1649,37.2281,126.768,KR,좌회전 중 좌측에서 대형차량이 지나가는 충돌 위험이 있는 상황,99999,301,1,2,99999,6,1,1,1,1,1,77777,,7777,1,2,4,,,"송정리, 화성시, 경기도, 18248, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,2023-01-18_16-50-24-front,2023-01-18_16-50-40,20230216_정리필요_임시삭제,2023-01-18_16-50-40,,2023,2023,1 ,3,1650,37.2219,126.766,KR,좁은 도로 맞은편에서 차량이 오므로 충돌을 주의해야 하는 상황 ,99999,681,2,1,99999,4,1,1,1,1,1,77777,,7777,1,2,4,,,"용포리, 화성시, 경기도, 18537, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,39,2023-01-18_17-00-46-front,2023-01-18_17-01-54,20230216_정리필요_임시삭제,2023-01-18_17-01-54,,2023,2023,1 ,3,1701,37.2095,126.758,KR,전방 정체로 우측 차선으로 변경하므로 후방 충돌 위험에 주의해야 하는 상황,99999,642,1,2,99999,1,1,1,11,1,1,77777,,7777,1,2,4,,,"화성로, 삼존리, 화성시, 경기도, 18537, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,27,2023-01-18_17-16-05-front,2023-01-18_17-16-42,20230216_정리필요_임시삭제,2023-01-18_17-16-42,,2023,2023,1 ,3,1716,37.1788,126.992,KR,전방 차량이 감속 후 우측으로 차선을 변경하므로 충돌을 주의해야 상황,99999,649,,,99999,1,1,1,12,1,1,77777,,7777,1,2,4,,,"수도권제2순환고속도로, 괘랑리, 화성시, 경기도, 18518, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,2023-01-29_14-22-09-front,2023-01-29_14-22-26,20230216_정리필요_임시삭제,2023-01-29_14-22-26,,2023,2023,1 ,7,1422,37.5482,127.07,KR,전방 택시가 손님을 내려준 후 다시 주행하므로 충돌을 주의해야 하는 상황,99999,542,1,2,99999,3,1,1,34,1,1,77777,,7777,1,2,4,,,"천호대로, 군자동, 광진구, 서울, 05000, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,50,2023-02-10_11-18-39-front,2023-02-10_11-20-34,20230228_정리필요_임시삭제,2023-02-10_11-20-34,,2023,2023,2 ,5,1120,37.3244,126.965,KR,우측 차량의 갑작스러운 차선 변경으로 주의가 필요한 상황,99999,633,2,1,99999,1,1,1,11,1,1,77777,,7777,1,2,4,,,"봉담과천로, 삼동, 부곡동, 의왕시, 경기도, 16079, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,2023-02-10_11-31-39-front,2023-02-10_11-32-48,20230228_정리필요_임시삭제,2023-02-10_11-32-48,,2023,2023,2 ,5,1132,37.2469,126.891,KR,우측 갓길에 트럭이 정차되어 주행에 주의가 필요한 상황 ,99999,501,1,2,99999,1,1,1,11,1,1,77777,,7777,1,2,4,,,"화성로, 구포리, 화성시, 경기도, 18286, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,42,2023-02-10_17-02-53-front,2023-02-10_17-04-19,20230228_정리필요_임시삭제,2023-02-10_17-04-19,,2023,2023,2 ,5,1704,37.1876,126.782,KR,도로 위에 차선 유지봉이 떨어져 있으므로 주의가 필요한 상황,99999,732,,,99999,1,1,1,12,1,1,77777,,7777,1,2,4,,,"수도권제2순환고속도로, 쌍송리, 화성시, 경기도, 18537, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
